model,num_characters,num_actions,question_type,question,expected,predicted,correct,story_len
gpt-4.1,2,5,location,Where is Alice?,bathroom,bathroom,True,199.0
gpt-4.1,2,5,mood,How does Alice feel?,calm,calm,True,199.0
gpt-4.1,2,5,holding,What is Alice holding?,nothing,nothing,True,199.0
gpt-4.1,2,5,location,Where is Peter?,kitchen,kitchen,True,199.0
gpt-4.1,2,5,mood,How does Peter feel?,sad,sad,True,199.0
gpt-4.1,2,5,holding,What is Peter holding?,nothing,nothing,True,199.0
gpt-4.1,2,5,location,Where is Liam?,garden,garden,True,175.0
gpt-4.1,2,5,mood,How does Liam feel?,happy,happy,True,175.0
gpt-4.1,2,5,holding,What is Liam holding?,nothing,nothing,True,175.0
gpt-4.1,2,5,location,Where is Uma?,kitchen,kitchen,True,175.0
gpt-4.1,2,5,mood,How does Uma feel?,sad,sad,True,175.0
gpt-4.1,2,5,holding,What is Uma holding?,nothing,nothing,True,175.0
gpt-4.1,2,5,location,Where is Jack?,hallway,hallway,True,195.0
gpt-4.1,2,5,mood,How does Jack feel?,calm,calm,True,195.0
gpt-4.1,2,5,holding,What is Jack holding?,coin,coin,True,195.0
gpt-4.1,2,5,location,Where is Frank?,bathroom,bathroom,True,195.0
gpt-4.1,2,5,mood,How does Frank feel?,confident,confident,True,195.0
gpt-4.1,2,5,holding,What is Frank holding?,nothing,nothing,True,195.0
gpt-4.1,2,10,location,Where is Ivy?,garden,garden,True,300.0
gpt-4.1,2,10,mood,How does Ivy feel?,confident,confident,True,300.0
gpt-4.1,2,10,holding,What is Ivy holding?,coin,coin,True,300.0
gpt-4.1,2,10,location,Where is Tina?,hallway,hallway,True,300.0
gpt-4.1,2,10,mood,How does Tina feel?,nervous,nervous,True,300.0
gpt-4.1,2,10,holding,What is Tina holding?,nothing,nothing,True,300.0
gpt-4.1,2,10,location,Where is Sam?,kitchen,kitchen,True,294.0
gpt-4.1,2,10,mood,How does Sam feel?,confident,confident,True,294.0
gpt-4.1,2,10,holding,What is Sam holding?,nothing,nothing,True,294.0
gpt-4.1,2,10,location,Where is Ruby?,office,office,True,294.0
gpt-4.1,2,10,mood,How does Ruby feel?,nervous,nervous,True,294.0
gpt-4.1,2,10,holding,What is Ruby holding?,nothing,nothing,True,294.0
gpt-4.1,2,10,location,Where is Mia?,kitchen,kitchen,True,334.0
gpt-4.1,2,10,mood,How does Mia feel?,confident,confident,True,334.0
gpt-4.1,2,10,holding,What is Mia holding?,nothing,nothing,True,334.0
gpt-4.1,2,10,location,Where is Zack?,garden,garden,True,334.0
gpt-4.1,2,10,mood,How does Zack feel?,confident,confident,True,334.0
gpt-4.1,2,10,holding,What is Zack holding?,umbrella,umbrella,True,334.0
gpt-4.1,2,20,location,Where is Luna?,library,library,True,540.0
gpt-4.1,2,20,mood,How does Luna feel?,calm,calm,True,540.0
gpt-4.1,2,20,holding,What is Luna holding?,nothing,nothing,True,540.0
gpt-4.1,2,20,location,Where is Tyler?,basement,basement,True,540.0
gpt-4.1,2,20,mood,How does Tyler feel?,excited,excited,True,540.0
gpt-4.1,2,20,holding,What is Tyler holding?,coin,coin,True,540.0
gpt-4.1,2,20,location,Where is Luna?,kitchen,kitchen,True,532.0
gpt-4.1,2,20,mood,How does Luna feel?,tired,tired,True,532.0
gpt-4.1,2,20,holding,What is Luna holding?,hat,hat,True,532.0
gpt-4.1,2,20,location,Where is Ivy?,bedroom,bedroom,True,532.0
gpt-4.1,2,20,mood,How does Ivy feel?,calm,calm,True,532.0
gpt-4.1,2,20,holding,What is Ivy holding?,hat,hat,True,532.0
gpt-4.1,2,20,location,Where is Oscar?,bathroom,bathroom,True,571.0
gpt-4.1,2,20,mood,How does Oscar feel?,confident,confident,True,571.0
gpt-4.1,2,20,holding,What is Oscar holding?,apple,apple,True,571.0
gpt-4.1,2,20,location,Where is Tyler?,office,office,True,571.0
gpt-4.1,2,20,mood,How does Tyler feel?,curious,curious,True,571.0
gpt-4.1,2,20,holding,What is Tyler holding?,nothing,nothing,True,571.0
gpt-4.1,3,5,location,Where is Zack?,office,office,True,228.0
gpt-4.1,3,5,mood,How does Zack feel?,calm,calm,True,228.0
gpt-4.1,3,5,holding,What is Zack holding?,nothing,nothing,True,228.0
gpt-4.1,3,5,location,Where is Liam?,kitchen,kitchen,True,228.0
gpt-4.1,3,5,mood,How does Liam feel?,sad,sad,True,228.0
gpt-4.1,3,5,holding,What is Liam holding?,nothing,nothing,True,228.0
gpt-4.1,3,5,location,Where is Tina?,office,office,True,228.0
gpt-4.1,3,5,mood,How does Tina feel?,sad,sad,True,228.0
gpt-4.1,3,5,holding,What is Tina holding?,nothing,nothing,True,228.0
gpt-4.1,3,5,location,Where is Mia?,library,library,True,237.0
gpt-4.1,3,5,mood,How does Mia feel?,curious,curious,True,237.0
gpt-4.1,3,5,holding,What is Mia holding?,nothing,nothing,True,237.0
gpt-4.1,3,5,location,Where is Uma?,hallway,hallway,True,237.0
gpt-4.1,3,5,mood,How does Uma feel?,curious,curious,True,237.0
gpt-4.1,3,5,holding,What is Uma holding?,nothing,nothing,True,237.0
gpt-4.1,3,5,location,Where is Jack?,bedroom,bedroom,True,237.0
gpt-4.1,3,5,mood,How does Jack feel?,tired,tired,True,237.0
gpt-4.1,3,5,holding,What is Jack holding?,nothing,nothing,True,237.0
gpt-4.1,3,5,location,Where is Sam?,bedroom,bedroom,True,234.0
gpt-4.1,3,5,mood,How does Sam feel?,curious,curious,True,234.0
gpt-4.1,3,5,holding,What is Sam holding?,ball,ball,True,234.0
gpt-4.1,3,5,location,Where is Wendy?,bathroom,bathroom,True,234.0
gpt-4.1,3,5,mood,How does Wendy feel?,tired,tired,True,234.0
gpt-4.1,3,5,holding,What is Wendy holding?,hat,hat,True,234.0
gpt-4.1,3,5,location,Where is Tina?,library,library,True,234.0
gpt-4.1,3,5,mood,How does Tina feel?,calm,calm,True,234.0
gpt-4.1,3,5,holding,What is Tina holding?,coin,coin,True,234.0
gpt-4.1,3,10,location,Where is Luna?,office,office,True,361.0
gpt-4.1,3,10,mood,How does Luna feel?,calm,calm,True,361.0
gpt-4.1,3,10,holding,What is Luna holding?,hat,hat,True,361.0
gpt-4.1,3,10,location,Where is Tyler?,bathroom,bathroom,True,361.0
gpt-4.1,3,10,mood,How does Tyler feel?,sad,sad,True,361.0
gpt-4.1,3,10,holding,What is Tyler holding?,nothing,nothing,True,361.0
gpt-4.1,3,10,location,Where is Peter?,bathroom,bathroom,True,361.0
gpt-4.1,3,10,mood,How does Peter feel?,calm,calm,True,361.0
gpt-4.1,3,10,holding,What is Peter holding?,nothing,nothing,True,361.0
gpt-4.1,3,10,location,Where is Luna?,garden,garden,True,364.0
gpt-4.1,3,10,mood,How does Luna feel?,confident,confident,True,364.0
gpt-4.1,3,10,holding,What is Luna holding?,coin,coin,True,364.0
